bug_id,report_count,defect_method,primary_defect_method,reported_methods
3,4,readFromFile,readFromFile,init|readFromFile
12,3,main,main,main
44,3,load,loadTemplateFile,load|loadTemplateFile
55,9,createJar,launchApp,createJar|getYarnDeployDependencies|launchApp|main|visitFile
56,9,visitFile,launchApp,createJar|getYarnDeployDependencies|launchApp|main
61,4,updateSSLKeystore,doInTransactionWithoutResult,doInTransactionWithoutResult|templateDetailsInitIfNotExist|updateSSLKeystore
73,9,execute,executeProxyLoadScan,execute|executeProxyLoadScan
116,2,getCompressedSize,getIterator,getCompressedSize|getIterator
177,6,loadFromInputStream,saveToObj,load|loadFromFile|loadFromInputStream|saveToObj
186,9,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.javacreateTempContextXml,run,createTempContextXml|incrementalRedeploy|initialDeploy|install|run
187,4,execute,generateMissingQuestions,execute|generateMissingQuestions|generateTemplateFile
202,2,open,open,closeAsync|open
206,5,load,load,getResourceAsStream|load|loadClass
207,5,loadClass,load,getResourceAsStream|load|loadClass
220,3,loadBytesRaw,copyFile,copyFile|loadBytesRaw
234,4,getSecondaryServicePrincipalClientID,cmdInvocation,cmdInvocation|getSecondaryServicePrincipalClientID|getSecondaryServicePrincipalSecret
240,9,pushUpload,openSSHTermOnSystem,addPubKey|authAndAddPubKey|openSSHTermOnSystem|pushUpload
289,5,writeFile,readFile,getExceptionMessage|readFile|writeFile
298,2,saveContentReference,saveContentReference,saveContentReference
306,2,partialContentResponse,fullContentResponse,fullContentResponse|partialContentResponse
307,2,partialContentResponse,fullContentResponse,fullContentResponse|partialContentResponse
343,2,loadPropertyFile,loadPropertyFile,loadPropertyFile
373,3,writeExtraDdl,createDdlWriter,createDdlWriter|writeExtraDdl|writeMigrationXml
413,3,create,create,activate|create|mapFile
439,2,createConfigFor,createConfigFor,createConfigFor
441,2,write,write,write
447,3,read,getMd5Hash,getMd5Hash|parseXML|read
451,5,readContent,readContent,readContent|writeContent
454,4,readDefaultMarkdown,readMarkdown,readDefaultMarkdown|readMarkdown
471,2,readFile,readFile,readFile
480,5,process,process,process|run
484,2,uploadJobResources,loadJarFromInputStream,loadJarFromInputStream|uploadJobResources
495,2,getPersistence,saveTimeStampCache,loadTimeStampCache|saveTimeStampCache
499,3,getFailingLine,createPrintableStackTrace,createPrintableStackTrace|getFailingLine|printScriptStackTrace
504,2,getClientDetail,makeGetter,getClientDetail|makeGetter
505,2,ClientGet,makeGetter,getClientDetail|makeGetter
530,7,installPlugin,unzipPlugin,getElementValue|installPlugin|loadPlugin|start|unzipPlugin
536,5,save,load,load|save
548,3,BundleSpiProvidersLoader.call,call,call|getPackageResources
552,7,dispose,text,dispose|getInputStream|text
556,2,extract,extract,extract
560,3,write,write,init|write|writeFile
561,2,readClassfile,openClassfile,openClassfile
566,3,locate,locate,locate
575,4,loadAsString,read,loadAsString|read|write
610,2,loadDefaultProperties,loadDefaultProperties,loadDefaultProperties
611,3,run,run,run
632,3,load,load,load|parseInputStream
634,2,parseConfig,openSource,openSource|parseConfig
638,2,compile,compile,compile|writeZone
644,2,readFileRaw,readFileRaw,readFileRaw|writeFile
651,3,cacheThumbnail,cacheThumbnail,cacheThumbnail|getLength|writeInternalMedia
655,2,request,request,request
695,2,writeChangeLog,writeChangeLog,writeChangeLog
702,8,writeToBinaryFile,writeToTextFile,getFileAsBytes|getFileAsString|getReaderAsString|getStreamAsString|readFromBinaryFile|writeToBinaryFile|writeToTextFile
705,4,writeInfoFile,writeInfoFile,writeInfoFile
706,2,readBlacklist,readBlacklist,readBlacklist|writeExamples
739,2,getBytesFromFile,processFile,onStart|processFile
756,8,writeDOTFile,getOutputFileWriter,getOutputFileWriter|load|loadFromString|loadGrammar|loadImportedGrammar
768,2,checkin,loadIfcSchema,init|loadIfcSchema
780,3,stopLoop,stopLoop,releaseFifoOut|run|stopLoop
782,2,saveToFile,importProject,importProject|untar
796,2,writeXref,writeXref,writeXref
816,3,readObject,readObject,getOutputStream|readObject
823,6,getWmicResult,getWmicResult,getFullWmicResult|getWmicResult
843,7,copyToFile,copyToStream,copyToStream|readSvg|readText
845,2,cacheBytecode,getBytecode,cacheBytecode|getBytecode
854,5,getConvertedValue,getConvertedValue,getConvertedValue
856,3,makeJar,makeJar,makeJar|makeJvmConfig
873,2,generateFromTemplate,generateFromTemplate,generateFromTemplate
881,11,putFile,getFileAsReader,getFileAsInputStream|getFileAsReader|getZipFile|putFile|save
883,8,restoreFiles,restoreFiles,convertContentToString|exportProject|extractImportParametersFromRequest|getProjectDescription|restoreFiles|toZipFile
913,3,generateReport,generateReport,generateReport
919,4,readString,readString,copyToFile|readBytes|readString
920,3,write,write,getClassPath|read|write
930,4,redirectOutput,run,redirectOutput|run
948,14,initializeAndRunCoref,getConllEvalSummary,getConllEvalSummary|initializeAndRunCoref|runAndScoreCoref|runAndScoreCorefDist|runConllEval
963,2,writeDataToFile,writeDataToFile,writeDataToFile
964,5,getModifiedLogs,getModifiedLogs,appendToFile|getModifiedLogs
966,2,getFormattedLicense,getFormattedLicense,getFormattedLicense
986,2,cacheGameProperties,cacheGameProperties,cacheGameProperties|loadCachedGamePropertiesInto
1004,4,writeBinaryCheckpoints,writeBinaryCheckpoints,writeBinaryCheckpoints|writeTextualCheckpoints
1011,4,visualize,visualize,shutdown|visualize
1021,2,read,read,args|read
1032,2,parse,parse,getAnnexBFrameHeader|parse
1033,3,testOnFile,testOnFile,convertToCSVfile|testOnFile
1037,4,handleDownload,writeAjaxPage,criticalNotification|handleRequest|serveStaticResources|writeAjaxPage
1047,3,readAll,readAll,readAll|utf8ByteBuffer
1072,2,execute,execute,execute
1074,2,toXML,toXML,fromXML|toXML
1080,2,load,save,load|save
1081,2,save,save,load|save
1110,2,serialize,deserialize,deserialize|serialize
1126,4,zipFileSize,zipDoesContainDir,execCommand|unTarUsingTar|zipDoesContainDir|zipFileSize
1173,7,generateScheme,execute,copyFileWithPIReplaced|execute|generateScheme|outputSubjectScheme
1174,3,parseResponse,throwIOExceptionOnErrorResponse,parseResponse|throwIOExceptionOnErrorResponse
1177,4,execute,execute,execute
1182,7,addFile,close,addFile|addJarEntry|addZipEntry|close|processJarFile|writeModuleSrcZipToOverallSrcZip
1188,2,postBody,postBody,postBody
1193,7,persistKeyPairMap,persist,createKeystore|persist|persistCertMap|persistKeyPairMap|persistPublicKeyMap|persistSubjectMap|reloadKeystore
1328,2,ClassFieldInspector,processClassWithByteCode,processClassWithByteCode
1333,6,rebuildJournal,rebuildJournal,get|getString|newInputStream|open|rebuildJournal
1341,3,saveDgmInfo,loadDgmInfo,loadDgmInfo|saveDgmInfo
1384,5,loadTerms,loadTerms,loadTerms
1388,6,copyStreamToFile,getStringFromFile,canWriteTo|copyFile|copyStreamToFile|copyURItoFile|getStringFromFile
1389,7,getStringFromFile,copyFile,canWriteTo|copyFile|copyStreamToFile|copyURItoFile|getStringFromFile
1452,3,sendXMPP,sendXMPP,sendXMPP
1459,6,compareFileMagic,getOutputWriter,compareFileMagic|dumpConfig|getContentHandler|getOutputWriter|process
1508,12,addBootFile,write,addBootFile|write
1510,2,read,read,read|write
1512,6,writeRextToFile,ex4,ex1|ex2|ex4|ex6|writeRextToFile
1523,5,getWmicResult,getWmicResult,getWmicResult
1526,2,createPdfFile,createPdfFile,createPdfFile
1529,4,concat,concat,analyse|concat
